src	tgt
▁your ▁person a : ▁I ▁like ▁to ▁rem od el ▁hom es . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁go ▁hun ting . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁shoot ▁a ▁bow . [SEP] ▁your ▁person a : ▁My ▁favorite ▁holiday ▁is ▁hall ow een . [SEP] ▁Hi , ▁how ▁are ▁you ▁doing ? ▁I ' m ▁getting ▁ready ▁to ▁do ▁some ▁che et ah ▁ch asing ▁to ▁stay ▁in ▁shape .	▁You ▁must ▁be ▁very ▁fast . ▁Hun ting ▁is ▁one ▁of ▁my ▁favorite ▁hob bies .
▁your ▁person a : ▁I ▁like ▁to ▁rem od el ▁hom es . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁go ▁hun ting . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁shoot ▁a ▁bow . [SEP] ▁your ▁person a : ▁My ▁favorite ▁holiday ▁is ▁hall ow een . [SEP] ▁Hi , ▁how ▁are ▁you ▁doing ? ▁I ' m ▁getting ▁ready ▁to ▁do ▁some ▁che et ah ▁ch asing ▁to ▁stay ▁in ▁shape . [SEP] ▁You ▁must ▁be ▁very ▁fast . ▁Hun ting ▁is ▁one ▁of ▁my ▁favorite ▁hob bies . [SEP] ▁I ▁am ! ▁For ▁my ▁hobby ▁I ▁like ▁to ▁do ▁can ning ▁or ▁some ▁wh itt ling .	▁I ▁also ▁rem od el ▁hom es ▁when ▁I ▁am ▁not ▁out ▁bow ▁hun ting .
▁your ▁person a : ▁I ▁like ▁to ▁rem od el ▁hom es . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁go ▁hun ting . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁shoot ▁a ▁bow . [SEP] ▁your ▁person a : ▁My ▁favorite ▁holiday ▁is ▁hall ow een . [SEP] ▁Hi , ▁how ▁are ▁you ▁doing ? ▁I ' m ▁getting ▁ready ▁to ▁do ▁some ▁che et ah ▁ch asing ▁to ▁stay ▁in ▁shape . [SEP] ▁You ▁must ▁be ▁very ▁fast . ▁Hun ting ▁is ▁one ▁of ▁my ▁favorite ▁hob bies . [SEP] ▁I ▁am ! ▁For ▁my ▁hobby ▁I ▁like ▁to ▁do ▁can ning ▁or ▁some ▁wh itt ling . [SEP] ▁I ▁also ▁rem od el ▁hom es ▁when ▁I ▁am ▁not ▁out ▁bow ▁hun ting . [SEP] ▁That ' s ▁neat . ▁When ▁I ▁was ▁in ▁high ▁school ▁I ▁placed ▁6 th ▁in ▁100 m ▁d ash !	▁That ' s ▁awesome . ▁Do ▁you ▁have ▁a ▁favorite ▁season ▁or ▁time ▁of ▁year ?
▁your ▁person a : ▁I ▁like ▁to ▁rem od el ▁hom es . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁go ▁hun ting . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁shoot ▁a ▁bow . [SEP] ▁your ▁person a : ▁My ▁favorite ▁holiday ▁is ▁hall ow een . [SEP] ▁Hi , ▁how ▁are ▁you ▁doing ? ▁I ' m ▁getting ▁ready ▁to ▁do ▁some ▁che et ah ▁ch asing ▁to ▁stay ▁in ▁shape . [SEP] ▁You ▁must ▁be ▁very ▁fast . ▁Hun ting ▁is ▁one ▁of ▁my ▁favorite ▁hob bies . [SEP] ▁I ▁am ! ▁For ▁my ▁hobby ▁I ▁like ▁to ▁do ▁can ning ▁or ▁some ▁wh itt ling . [SEP] ▁I ▁also ▁rem od el ▁hom es ▁when ▁I ▁am ▁not ▁out ▁bow ▁hun ting . [SEP] ▁That ' s ▁neat . ▁When ▁I ▁was ▁in ▁high ▁school ▁I ▁placed ▁6 th ▁in ▁100 m ▁d ash ! [SEP] ▁That ' s ▁awesome . ▁Do ▁you ▁have ▁a ▁favorite ▁season ▁or ▁time ▁of ▁year ? [SEP] ▁I ▁do ▁not . ▁But ▁I ▁do ▁have ▁a ▁favorite ▁meat ▁since ▁that ▁is ▁all ▁I ▁eat ▁exclus ively .	▁What ▁is ▁your ▁favorite ▁meat ▁to ▁eat ?
▁your ▁person a : ▁I ▁like ▁to ▁rem od el ▁hom es . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁go ▁hun ting . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁shoot ▁a ▁bow . [SEP] ▁your ▁person a : ▁My ▁favorite ▁holiday ▁is ▁hall ow een . [SEP] ▁Hi , ▁how ▁are ▁you ▁doing ? ▁I ' m ▁getting ▁ready ▁to ▁do ▁some ▁che et ah ▁ch asing ▁to ▁stay ▁in ▁shape . [SEP] ▁You ▁must ▁be ▁very ▁fast . ▁Hun ting ▁is ▁one ▁of ▁my ▁favorite ▁hob bies . [SEP] ▁I ▁am ! ▁For ▁my ▁hobby ▁I ▁like ▁to ▁do ▁can ning ▁or ▁some ▁wh itt ling . [SEP] ▁I ▁also ▁rem od el ▁hom es ▁when ▁I ▁am ▁not ▁out ▁bow ▁hun ting . [SEP] ▁That ' s ▁neat . ▁When ▁I ▁was ▁in ▁high ▁school ▁I ▁placed ▁6 th ▁in ▁100 m ▁d ash ! [SEP] ▁That ' s ▁awesome . ▁Do ▁you ▁have ▁a ▁favorite ▁season ▁or ▁time ▁of ▁year ? [SEP] ▁I ▁do ▁not . ▁But ▁I ▁do ▁have ▁a ▁favorite ▁meat ▁since ▁that ▁is ▁all ▁I ▁eat ▁exclus ively . [SEP] ▁What ▁is ▁your ▁favorite ▁meat ▁to ▁eat ? [SEP] ▁I ▁would ▁have ▁to ▁say ▁its ▁prime ▁r ib . ▁Do ▁you ▁have ▁any ▁favorite ▁food s ?	▁I ▁like ▁chicken ▁or ▁mac aron i ▁and ▁cheese .
▁your ▁person a : ▁I ▁like ▁to ▁rem od el ▁hom es . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁go ▁hun ting . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁shoot ▁a ▁bow . [SEP] ▁your ▁person a : ▁My ▁favorite ▁holiday ▁is ▁hall ow een . [SEP] ▁Hi , ▁how ▁are ▁you ▁doing ? ▁I ' m ▁getting ▁ready ▁to ▁do ▁some ▁che et ah ▁ch asing ▁to ▁stay ▁in ▁shape . [SEP] ▁You ▁must ▁be ▁very ▁fast . ▁Hun ting ▁is ▁one ▁of ▁my ▁favorite ▁hob bies . [SEP] ▁I ▁am ! ▁For ▁my ▁hobby ▁I ▁like ▁to ▁do ▁can ning ▁or ▁some ▁wh itt ling . [SEP] ▁I ▁also ▁rem od el ▁hom es ▁when ▁I ▁am ▁not ▁out ▁bow ▁hun ting . [SEP] ▁That ' s ▁neat . ▁When ▁I ▁was ▁in ▁high ▁school ▁I ▁placed ▁6 th ▁in ▁100 m ▁d ash ! [SEP] ▁That ' s ▁awesome . ▁Do ▁you ▁have ▁a ▁favorite ▁season ▁or ▁time ▁of ▁year ? [SEP] ▁I ▁do ▁not . ▁But ▁I ▁do ▁have ▁a ▁favorite ▁meat ▁since ▁that ▁is ▁all ▁I ▁eat ▁exclus ively . [SEP] ▁What ▁is ▁your ▁favorite ▁meat ▁to ▁eat ? [SEP] ▁I ▁would ▁have ▁to ▁say ▁its ▁prime ▁r ib . ▁Do ▁you ▁have ▁any ▁favorite ▁food s ? [SEP] ▁I ▁like ▁chicken ▁or ▁mac aron i ▁and ▁cheese . [SEP] ▁Do ▁you ▁have ▁anything ▁planned ▁for ▁today ? ▁I ▁think ▁I ▁am ▁going ▁to ▁do ▁some ▁can ning .	▁I ▁am ▁going ▁to ▁watch ▁football . ▁What ▁are ▁you ▁can ning ?
▁your ▁person a : ▁I ▁like ▁to ▁rem od el ▁hom es . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁go ▁hun ting . [SEP] ▁your ▁person a : ▁I ▁like ▁to ▁shoot ▁a ▁bow . [SEP] ▁your ▁person a : ▁My ▁favorite ▁holiday ▁is ▁hall ow een . [SEP] ▁Hi , ▁how ▁are ▁you ▁doing ? ▁I ' m ▁getting ▁ready ▁to ▁do ▁some ▁che et ah ▁ch asing ▁to ▁stay ▁in ▁shape . [SEP] ▁You ▁must ▁be ▁very ▁fast . ▁Hun ting ▁is ▁one ▁of ▁my ▁favorite ▁hob bies . [SEP] ▁I ▁am ! ▁For ▁my ▁hobby ▁I ▁like ▁to ▁do ▁can ning ▁or ▁some ▁wh itt ling . [SEP] ▁I ▁also ▁rem od el ▁hom es ▁when ▁I ▁am ▁not ▁out ▁bow ▁hun ting . [SEP] ▁That ' s ▁neat . ▁When ▁I ▁was ▁in ▁high ▁school ▁I ▁placed ▁6 th ▁in ▁100 m ▁d ash ! [SEP] ▁That ' s ▁awesome . ▁Do ▁you ▁have ▁a ▁favorite ▁season ▁or ▁time ▁of ▁year ? [SEP] ▁I ▁do ▁not . ▁But ▁I ▁do ▁have ▁a ▁favorite ▁meat ▁since ▁that ▁is ▁all ▁I ▁eat ▁exclus ively . [SEP] ▁What ▁is ▁your ▁favorite ▁meat ▁to ▁eat ? [SEP] ▁I ▁would ▁have ▁to ▁say ▁its ▁prime ▁r ib . ▁Do ▁you ▁have ▁any ▁favorite ▁food s ? [SEP] ▁I ▁like ▁chicken ▁or ▁mac aron i ▁and ▁cheese . [SEP] ▁Do ▁you ▁have ▁anything ▁planned ▁for ▁today ? ▁I ▁think ▁I ▁am ▁going ▁to ▁do ▁some ▁can ning . [SEP] ▁I ▁am ▁going ▁to ▁watch ▁football . ▁What ▁are ▁you ▁can ning ? [SEP] ▁I ▁think ▁I ▁will ▁can ▁some ▁j am . ▁Do ▁you ▁also ▁play ▁foot fall ▁for ▁fun ?	▁If ▁I ▁have ▁time ▁outside ▁of ▁hun ting ▁and ▁rem od el ing ▁hom es . ▁Which ▁is ▁not ▁much !
▁your ▁person a : ▁My ▁mom ▁is ▁my ▁best ▁friend . [SEP] ▁your ▁person a : ▁I ▁have ▁four ▁s is ters . [SEP] ▁your ▁person a : ▁I ▁believe ▁that ▁mer ma ids ▁are ▁real . [SEP] ▁your ▁person a : ▁I ▁love ▁ iced ▁tea . [SEP] ▁Hi , ▁how ▁are ▁you ▁doing ▁today ?	▁I ▁am ▁spending ▁time ▁with ▁my ▁4 ▁s is ters ▁what ▁are ▁you ▁up ▁to
▁your ▁person a : ▁My ▁mom ▁is ▁my ▁best ▁friend . [SEP] ▁your ▁person a : ▁I ▁have ▁four ▁s is ters . [SEP] ▁your ▁person a : ▁I ▁believe ▁that ▁mer ma ids ▁are ▁real . [SEP] ▁your ▁person a : ▁I ▁love ▁ iced ▁tea . [SEP] ▁Hi , ▁how ▁are ▁you ▁doing ▁today ? [SEP] ▁I ▁am ▁spending ▁time ▁with ▁my ▁4 ▁s is ters ▁what ▁are ▁you ▁up ▁to [SEP] ▁Wow , ▁four ▁s is ters . ▁Just ▁watching ▁game ▁of ▁thr ones .	▁That ▁is ▁a ▁good ▁show ▁I ▁watch ▁that ▁while ▁drinking ▁ iced ▁tea
▁your ▁person a : ▁My ▁mom ▁is ▁my ▁best ▁friend . [SEP] ▁your ▁person a : ▁I ▁have ▁four ▁s is ters . [SEP] ▁your ▁person a : ▁I ▁believe ▁that ▁mer ma ids ▁are ▁real . [SEP] ▁your ▁person a : ▁I ▁love ▁ iced ▁tea . [SEP] ▁Hi , ▁how ▁are ▁you ▁doing ▁today ? [SEP] ▁I ▁am ▁spending ▁time ▁with ▁my ▁4 ▁s is ters ▁what ▁are ▁you ▁up ▁to [SEP] ▁Wow , ▁four ▁s is ters . ▁Just ▁watching ▁game ▁of ▁thr ones . [SEP] ▁That ▁is ▁a ▁good ▁show ▁I ▁watch ▁that ▁while ▁drinking ▁ iced ▁tea [SEP] ▁I ▁agree . ▁What ▁do ▁you ▁do ▁for ▁a ▁living ?	▁I ' m ▁a ▁research er ▁I ' m ▁research ing ▁the ▁fact ▁that ▁mer ma ids ▁are ▁real
